"origin_date","horizon","target_end_date","output_type_id","value","output_type","target","location"
2025-01-01,1,2024-12-29,0.99,164.01,"quantile","ILI incidence","FR"
2025-01-01,1,2024-12-29,0.01,604.97,"quantile","ILI incidence","GR"
2025-01-01,1,2024-12-29,0.025,614.85,"quantile","ILI incidence","GR"
2025-01-01,1,2024-12-29,0.05,621.9,"quantile","ILI incidence","GR"
2025-01-01,1,2024-12-29,0.1,627.9,"quantile","ILI incidence","GR"
2025-01-01,1,2024-12-29,0.15,641.7,"quantile","ILI incidence","GR"
2025-01-01,1,2024-12-29,0.2,643.8,"quantile","ILI incidence","GR"
2025-01-01,1,2024-12-29,0.25,648.75,"quantile","ILI incidence","GR"
2025-01-01,1,2024-12-29,0.3,655.7,"quantile","ILI incidence","GR"
2025-01-01,1,2024-12-29,0.35,658,"quantile","ILI incidence","GR"
2025-01-01,1,2024-12-29,0.4,660.6,"quantile","ILI incidence","GR"
2025-01-01,1,2024-12-29,0.45,661,"quantile","ILI incidence","GR"
2025-01-01,1,2024-12-29,0.5,664,"quantile","ILI incidence","GR"
2025-01-01,1,2024-12-29,0.55,666,"quantile","ILI incidence","GR"
2025-01-01,1,2024-12-29,0.6,671.4,"quantile","ILI incidence","GR"
2025-01-01,1,2024-12-29,0.65,674.35,"quantile","ILI incidence","GR"
2025-01-01,1,2024-12-29,0.7,677.3,"quantile","ILI incidence","GR"
2025-01-01,1,2024-12-29,0.75,682.25,"quantile","ILI incidence","GR"
2025-01-01,1,2024-12-29,0.8,687.2,"quantile","ILI incidence","GR"
2025-01-01,1,2024-12-29,0.85,693,"quantile","ILI incidence","GR"
2025-01-01,1,2024-12-29,0.9,699.1,"quantile","ILI incidence","GR"
2025-01-01,1,2024-12-29,0.95,713.1,"quantile","ILI incidence","GR"
2025-01-01,1,2024-12-29,0.975,717.525,"quantile","ILI incidence","GR"
2025-01-01,1,2024-12-29,0.99,718.09,"quantile","ILI incidence","GR"
2025-01-01,1,2024-12-29,0.01,301.94,"quantile","ILI incidence","HU"
2025-01-01,1,2024-12-29,0.025,303.475,"quantile","ILI incidence","HU"
2025-01-01,1,2024-12-29,0.05,305,"quantile","ILI incidence","HU"
2025-01-01,1,2024-12-29,0.1,308,"quantile","ILI incidence","HU"
2025-01-01,1,2024-12-29,0.15,310.85,"quantile","ILI incidence","HU"
2025-01-01,1,2024-12-29,0.2,314.8,"quantile","ILI incidence","HU"
2025-01-01,1,2024-12-29,0.25,318,"quantile","ILI incidence","HU"
2025-01-01,1,2024-12-29,0.3,319,"quantile","ILI incidence","HU"
2025-01-01,1,2024-12-29,0.35,320.65,"quantile","ILI incidence","HU"
2025-01-01,1,2024-12-29,0.4,323,"quantile","ILI incidence","HU"
2025-01-01,1,2024-12-29,0.45,328.55,"quantile","ILI incidence","HU"
2025-01-01,1,2024-12-29,0.5,330,"quantile","ILI incidence","HU"
2025-01-01,1,2024-12-29,0.55,331,"quantile","ILI incidence","HU"
2025-01-01,1,2024-12-29,0.6,332,"quantile","ILI incidence","HU"
2025-01-01,1,2024-12-29,0.65,334,"quantile","ILI incidence","HU"
2025-01-01,1,2024-12-29,0.7,336,"quantile","ILI incidence","HU"
2025-01-01,1,2024-12-29,0.75,340,"quantile","ILI incidence","HU"
2025-01-01,1,2024-12-29,0.8,342,"quantile","ILI incidence","HU"
2025-01-01,1,2024-12-29,0.85,348,"quantile","ILI incidence","HU"
2025-01-01,1,2024-12-29,0.9,354.3,"quantile","ILI incidence","HU"
2025-01-01,1,2024-12-29,0.95,360.05,"quantile","ILI incidence","HU"
2025-01-01,1,2024-12-29,0.975,364.575,"quantile","ILI incidence","HU"
2025-01-01,1,2024-12-29,0.99,374.09,"quantile","ILI incidence","HU"
2025-01-01,1,2024-12-29,0.01,4.99,"quantile","ILI incidence","IE"
2025-01-01,1,2024-12-29,0.025,6,"quantile","ILI incidence","IE"
2025-01-01,1,2024-12-29,0.05,6,"quantile","ILI incidence","IE"
2025-01-01,1,2024-12-29,0.1,8,"quantile","ILI incidence","IE"
2025-01-01,1,2024-12-29,0.15,8.85,"quantile","ILI incidence","IE"
2025-01-01,1,2024-12-29,0.2,9,"quantile","ILI incidence","IE"
2025-01-01,1,2024-12-29,0.25,10,"quantile","ILI incidence","IE"
2025-01-01,1,2024-12-29,0.3,11,"quantile","ILI incidence","IE"
2025-01-01,1,2024-12-29,0.35,11,"quantile","ILI incidence","IE"
2025-01-01,1,2024-12-29,0.4,12,"quantile","ILI incidence","IE"
2025-01-01,1,2024-12-29,0.45,12,"quantile","ILI incidence","IE"
2025-01-01,1,2024-12-29,0.5,12,"quantile","ILI incidence","IE"
2025-01-01,1,2024-12-29,0.55,13,"quantile","ILI incidence","IE"
2025-01-01,1,2024-12-29,0.6,13,"quantile","ILI incidence","IE"
2025-01-01,1,2024-12-29,0.65,14,"quantile","ILI incidence","IE"
2025-01-01,1,2024-12-29,0.7,14,"quantile","ILI incidence","IE"
2025-01-01,1,2024-12-29,0.75,15,"quantile","ILI incidence","IE"
2025-01-01,1,2024-12-29,0.8,15,"quantile","ILI incidence","IE"
2025-01-01,1,2024-12-29,0.85,17,"quantile","ILI incidence","IE"
2025-01-01,1,2024-12-29,0.9,17,"quantile","ILI incidence","IE"
2025-01-01,1,2024-12-29,0.95,19,"quantile","ILI incidence","IE"
2025-01-01,1,2024-12-29,0.975,20,"quantile","ILI incidence","IE"
2025-01-01,1,2024-12-29,0.99,21.01,"quantile","ILI incidence","IE"
2025-01-01,1,2024-12-29,0.01,546.89,"quantile","ILI incidence","IT"
2025-01-01,1,2024-12-29,0.025,550.475,"quantile","ILI incidence","IT"
2025-01-01,1,2024-12-29,0.05,552.95,"quantile","ILI incidence","IT"
2025-01-01,1,2024-12-29,0.1,560.8,"quantile","ILI incidence","IT"
2025-01-01,1,2024-12-29,0.15,566,"quantile","ILI incidence","IT"
2025-01-01,1,2024-12-29,0.2,569,"quantile","ILI incidence","IT"
2025-01-01,1,2024-12-29,0.25,571,"quantile","ILI incidence","IT"
2025-01-01,1,2024-12-29,0.3,573.7,"quantile","ILI incidence","IT"
2025-01-01,1,2024-12-29,0.35,576.3,"quantile","ILI incidence","IT"
2025-01-01,1,2024-12-29,0.4,582.6,"quantile","ILI incidence","IT"
2025-01-01,1,2024-12-29,0.45,584.55,"quantile","ILI incidence","IT"
2025-01-01,1,2024-12-29,0.5,588,"quantile","ILI incidence","IT"
2025-01-01,1,2024-12-29,0.55,590.35,"quantile","ILI incidence","IT"
2025-01-01,1,2024-12-29,0.6,593.4,"quantile","ILI incidence","IT"
2025-01-01,1,2024-12-29,0.65,597.35,"quantile","ILI incidence","IT"
2025-01-01,1,2024-12-29,0.7,601.3,"quantile","ILI incidence","IT"
2025-01-01,1,2024-12-29,0.75,606,"quantile","ILI incidence","IT"
2025-01-01,1,2024-12-29,0.8,610.2,"quantile","ILI incidence","IT"
2025-01-01,1,2024-12-29,0.85,613,"quantile","ILI incidence","IT"
2025-01-01,1,2024-12-29,0.9,619.1,"quantile","ILI incidence","IT"
2025-01-01,1,2024-12-29,0.95,623,"quantile","ILI incidence","IT"
2025-01-01,1,2024-12-29,0.975,625.525,"quantile","ILI incidence","IT"
2025-01-01,1,2024-12-29,0.99,636.19,"quantile","ILI incidence","IT"
2025-01-01,1,2024-12-29,0.01,57.97,"quantile","ILI incidence","LV"
2025-01-01,1,2024-12-29,0.025,59,"quantile","ILI incidence","LV"
2025-01-01,1,2024-12-29,0.05,59.95,"quantile","ILI incidence","LV"
2025-01-01,1,2024-12-29,0.1,64.9,"quantile","ILI incidence","LV"
2025-01-01,1,2024-12-29,0.15,67.85,"quantile","ILI incidence","LV"
2025-01-01,1,2024-12-29,0.2,68,"quantile","ILI incidence","LV"
2025-01-01,1,2024-12-29,0.25,69.75,"quantile","ILI incidence","LV"
2025-01-01,1,2024-12-29,0.3,71,"quantile","ILI incidence","LV"
2025-01-01,1,2024-12-29,0.35,73,"quantile","ILI incidence","LV"
2025-01-01,1,2024-12-29,0.4,74,"quantile","ILI incidence","LV"
2025-01-01,1,2024-12-29,0.45,75,"quantile","ILI incidence","LV"
2025-01-01,1,2024-12-29,0.5,75,"quantile","ILI incidence","LV"
2025-01-01,1,2024-12-29,0.55,76,"quantile","ILI incidence","LV"
2025-01-01,1,2024-12-29,0.6,77,"quantile","ILI incidence","LV"
2025-01-01,1,2024-12-29,0.65,79,"quantile","ILI incidence","LV"
2025-01-01,1,2024-12-29,0.7,79,"quantile","ILI incidence","LV"
2025-01-01,1,2024-12-29,0.75,80.25,"quantile","ILI incidence","LV"
2025-01-01,1,2024-12-29,0.8,82,"quantile","ILI incidence","LV"
2025-01-01,1,2024-12-29,0.85,83.15,"quantile","ILI incidence","LV"
2025-01-01,1,2024-12-29,0.9,86,"quantile","ILI incidence","LV"
2025-01-01,1,2024-12-29,0.95,88.05,"quantile","ILI incidence","LV"
2025-01-01,1,2024-12-29,0.975,90,"quantile","ILI incidence","LV"
2025-01-01,1,2024-12-29,0.99,92.03,"quantile","ILI incidence","LV"
2025-01-01,1,2024-12-29,0.01,44,"quantile","ILI incidence","LT"
2025-01-01,1,2024-12-29,0.025,45,"quantile","ILI incidence","LT"
2025-01-01,1,2024-12-29,0.05,46.95,"quantile","ILI incidence","LT"
2025-01-01,1,2024-12-29,0.1,48,"quantile","ILI incidence","LT"
2025-01-01,1,2024-12-29,0.15,49.85,"quantile","ILI incidence","LT"
2025-01-01,1,2024-12-29,0.2,51,"quantile","ILI incidence","LT"
2025-01-01,1,2024-12-29,0.25,53,"quantile","ILI incidence","LT"
2025-01-01,1,2024-12-29,0.3,54,"quantile","ILI incidence","LT"
2025-01-01,1,2024-12-29,0.35,54.65,"quantile","ILI incidence","LT"
2025-01-01,1,2024-12-29,0.4,56,"quantile","ILI incidence","LT"
2025-01-01,1,2024-12-29,0.45,57,"quantile","ILI incidence","LT"
2025-01-01,1,2024-12-29,0.5,58,"quantile","ILI incidence","LT"
2025-01-01,1,2024-12-29,0.55,59,"quantile","ILI incidence","LT"
2025-01-01,1,2024-12-29,0.6,60,"quantile","ILI incidence","LT"
2025-01-01,1,2024-12-29,0.65,61,"quantile","ILI incidence","LT"
2025-01-01,1,2024-12-29,0.7,62,"quantile","ILI incidence","LT"
2025-01-01,1,2024-12-29,0.75,63,"quantile","ILI incidence","LT"
2025-01-01,1,2024-12-29,0.8,65,"quantile","ILI incidence","LT"
2025-01-01,1,2024-12-29,0.85,66,"quantile","ILI incidence","LT"
2025-01-01,1,2024-12-29,0.9,67.1,"quantile","ILI incidence","LT"
2025-01-01,1,2024-12-29,0.95,71.2,"quantile","ILI incidence","LT"
2025-01-01,1,2024-12-29,0.975,75.525,"quantile","ILI incidence","LT"
2025-01-01,1,2024-12-29,0.99,77.01,"quantile","ILI incidence","LT"
2025-01-01,1,2024-12-29,0.01,2943.77,"quantile","ILI incidence","LU"
2025-01-01,1,2024-12-29,0.025,2950.375,"quantile","ILI incidence","LU"
2025-01-01,1,2024-12-29,0.05,2971.45,"quantile","ILI incidence","LU"
2025-01-01,1,2024-12-29,0.1,2982.8,"quantile","ILI incidence","LU"
2025-01-01,1,2024-12-29,0.15,2994.55,"quantile","ILI incidence","LU"
2025-01-01,1,2024-12-29,0.2,3001.6,"quantile","ILI incidence","LU"
2025-01-01,1,2024-12-29,0.25,3008,"quantile","ILI incidence","LU"
2025-01-01,1,2024-12-29,0.3,3011,"quantile","ILI incidence","LU"
2025-01-01,1,2024-12-29,0.35,3019.3,"quantile","ILI incidence","LU"
2025-01-01,1,2024-12-29,0.4,3026.2,"quantile","ILI incidence","LU"
2025-01-01,1,2024-12-29,0.45,3033.55,"quantile","ILI incidence","LU"
2025-01-01,1,2024-12-29,0.5,3042,"quantile","ILI incidence","LU"
2025-01-01,1,2024-12-29,0.55,3045,"quantile","ILI incidence","LU"
2025-01-01,1,2024-12-29,0.6,3050,"quantile","ILI incidence","LU"
2025-01-01,1,2024-12-29,0.65,3055.4,"quantile","ILI incidence","LU"
2025-01-01,1,2024-12-29,0.7,3068.2,"quantile","ILI incidence","LU"
2025-01-01,1,2024-12-29,0.75,3084.25,"quantile","ILI incidence","LU"
2025-01-01,1,2024-12-29,0.8,3099.4,"quantile","ILI incidence","LU"
2025-01-01,1,2024-12-29,0.85,3109.3,"quantile","ILI incidence","LU"
2025-01-01,1,2024-12-29,0.9,3117.4,"quantile","ILI incidence","LU"
2025-01-01,1,2024-12-29,0.95,3142.2,"quantile","ILI incidence","LU"
2025-01-01,1,2024-12-29,0.975,3162.3,"quantile","ILI incidence","LU"
2025-01-01,1,2024-12-29,0.99,3176.19,"quantile","ILI incidence","LU"
2025-01-01,1,2024-12-29,0.01,4783.83,"quantile","ILI incidence","MT"
2025-01-01,1,2024-12-29,0.025,4814.875,"quantile","ILI incidence","MT"
2025-01-01,1,2024-12-29,0.05,4836.6,"quantile","ILI incidence","MT"
2025-01-01,1,2024-12-29,0.1,4848,"quantile","ILI incidence","MT"
